,Company name,Job title,Working model,Job Type,Required Experience ,Salary
0,Celloscope Ltd,,On Site,Full time,Fresher,18-20K (Negotiable)
1,Streamline Technologies,,Remote,Full time,More than 2 years, 30-70k BDT
2,ADVENTURE DHAKA LIMITED,,On Site,Full time,More than 2 years,800000-150000
3, Inument Solutions Limited,,On Site,Full time,More than 2 years,120k-280k
4,Padma,Embedded Engineer ,On Site,Full time,More than 2 years,45k - 50k BDT
5,EAGLE 3D STREAMING,a,Hybrid,Full time,More than 2 years,30k–150
6,WPXPO,Junior Technical Support Engineer,On Site,Full time,Less than 2 years ,15k-25k
7,Happi ,Mid level Laravel Engineer,On Site,Full time,More than 2 years,40k-55k
8,Kolpolok Limited,ios developer,On Site,Full time,Less than 2 years ,30k-60k
9,Kolpolok Limited,Android developer,On Site,Full time,More than 2 years,40k-60k
10,Dhaka Popular Travel Ltd,Senior Frontend Developer,On Site,Full time,More than 2 years,35k-100k
11,Apploye Inc,Junior Software Engineer (Full Stack),On Site,Full time,Less than 2 years ,40k-65k
12,𝗦𝗢𝗙𝗧𝗢𝗚𝗥𝗔𝗣𝗛,Game Developer,On Site,Full time,More than 2 years,40k - 60k
13,Codeboxr ,Mid/Senior Level Laravel-Vuejs-Nuxtjs Developer,On Site,Full time,More than 2 years,35k-50k
14, Enosis Solutions,Database Administrator,On Site,Full time,More than 3 years,80k-120k
15,MoveOn Technologies Ltd,"Analyst, Digital Marketing",On Site,Full time,More than 3 years,40k-60k
16,DeshIT-BD,Backend Developer Intern (Node.js),On Site,Full time,More than 2 years,Negotiable
17,Rokomari,Software Quality Assurance (SQA) Engineer,On Site,Full time,Less than 2 years ,25K-40K
18,SAZIM,Quality Automation Engineer,On Site,Full time,Less than 2 years ,35k-70k
19,afnanilab,MERN Developer Full Stack Developer,Remote,Full time,More than 3 years,60k-60k
20,spacecats,DevOps Engineer,Remote,Full time,More than 2 years,80k-120k
21,Raptas Software Inc,Full Stack Web Developer,On Site,Full time,More than 4 years,80k-120k (Salary is commensurate with experience & performance based on our recruitment test)
22,THESOFTKING Limited, Mid-Level HTML/CSS Developer,On Site,Full time,More than 2 years,20k - 40k
23,Kolpolok Limited,C++_Intern,On Site,Full time,Fresher,5k
24,Space Cats,DevOps Engineer,On Site,Full time,More than 2 years,80k-120k
25,WebAppick,PHP Developer,On Site,Full time,Less than 2 years ,40k
26,Airtable,Junior Data Analyst,On Site,Full time,Fresher,18k-25K (Negotiable)
27,Solution Art,Software Developer,On Site,Full time,Less than 2 years ,25k-35k
28,InflexionPoint Technologies BD Ltd.,Trainer for Cloud Engineers,On Site,Full time,More than 3 years,Negotiable
29,DevsCred,WordPress Plugin Developer,On Site,Full time,More than 2 years,40k-50k
30,Themefic,WordPress Plugin Customization Expert ,On Site,Full time,Less than 2 years ,45k
31,Themefic,WordPress Frontend Developer,On Site,Full time,Less than 2 years ,45k
32,HelloPay,Software Engineer (Backend),On Site,Full time,More than 3 years,80k
33,Tlntrip,Web Developer (PHP),On Site,Full time,Less than 2 years ,Negotiable
34,Grype,Full Stack Developer,Remote,Full time,Less than 2 years ,50k-80k
35,Thinkcrypt.io, iOS Developer,On Site,Full time,More than 3 years,80K-100K
36,SAZIM,Full Stack Software Developer,On Site,Full time,More than 2 years,50k-70k
37,SAZIM,TECHNICAL PRODUCT DESIGNER/MANAGER,On Site,Full time,Less than 2 years ,30k-60k
38,Brotecs Technologies,Intern Software Engineers,On Site,Full time,Fresher,15k
39,Frontier Semiconductor,Software Engineer,On Site,Full time,Fresher,40k-55k
40,Frontier Semiconductor BD Ltd.,Optical Physicist,On Site,Full time,Less than 2 years ,40k-55k
41,Cloudapper,QA Engineers,On Site,Full time,Less than 2 years ,35k-50k
42,Programming Hero,Kotlin Android Developer,Remote,Full time,Less than 2 years ,30k-45k
43,ICM Soft,EEE Engineer,On Site,Full time,Less than 2 years ,Negotiable 
44,Parallaxlogic Infotech,Software Quality Assurance Engineer ,On Site,Full time,Fresher,15k-30k
45,CodersBucket LTD.,Software Engineer,On Site,Full time,More than 2 years,50K-100K
46,AmharcTech,Tech Lead,Remote,Full time,More than 5 years,180K-200K 
47,UJET,Software Engineer,Remote,Full time,More than 4 years,130k-180k
48,Softaid Technologies,Graphic Designer,Remote,Full time,Less than 2 years ,180K-200
49,Softaid Technologies,Ecommerce Website Designer & Developer,On Site,Full time,Fresher,15k-22k
50,Softaid Technologies,Junior Wordpress Developer/Designer,On Site,Full time,Fresher,Negotiable
51,Akij Plastics Ltd.,SolidWorks Designer,On Site,Full time,Less than 2 years ,15k-20k
52,OGGROW,"nternship, Digital Marketing, (Female)",On Site,Full time,Fresher,7k
53,MNTECH DIGITAL,Junior Backend Developer,On Site,Full time,Fresher,Negotiable
54,Maya Solutions,Backend Developer (Python/APIs/Databases),On Site,Full time,Less than 2 years ,Negotiable
55,Mediusware Ltd,SQA Engineer Trainee (Female),On Site,Full time,Fresher,10k-15k
56,Orangetoolz.com,WordPress Developer (Site Maintainer),On Site,Full time,More than 2 years,Negotiable
57,Software Development Agency,Web Developer Expert,Remote,Full time,More than 3 years,Negotiable
58,EchoLogyx,SOFTWARE ENGINEER,On Site,Full time,Less than 2 years ,35k-50k
59,Implevista,Software Developer,On Site,Full time,Fresher,10k
60,S3 Innovate PTE LTD (Surbana Jurong Bangladesh LTD),Senior Software Engineer,Remote,Full time,Less than 2 years ,30K-100K
61,Celloscope Ltd.,Software Engineer,On Site,Full time,Less than 2 years ,25k-50k
62,Blinto,Full Stack JavaScript Developer,On Site,Full time,Less than 2 years ,25k-35k
63,Devxhub,Full-Stack Developer ( Django + React ),Remote,Full time,More than 2 years,60k-100k
64,Orangetoolz,WordPress Developer (Site Maintainer),On Site,Full time,Less than 2 years ,Negotiable
65,Maya Solutions,Backend Developer (Python/APIs/Databases),On Site,Full time,Less than 2 years ,50k
66,QA Pro Limited,Software Quality Assurance Engineer (Internship),On Site,Full time,Fresher,Negotiable
67,Mojaru Education Ltd,Full Stack Web Developer,On Site,Full time,More than 3 years,40k-60k
68,Headless Technologies Limited,Full Stack Web Developer,On Site,Full time,Less than 2 years ,25k-30k
69,Abexita,Senior Developer,Remote,Full time,Less than 2 years ,30k–50k
70,Abexita,Senior Developer,Remote,Full time,More than 3 years,50k–90k
71,𝐁𝐫𝐚𝐢𝐧 𝐒𝐭𝐚𝐭𝐢𝐨𝐧 𝟐𝟑 𝐋𝐭𝐝,Senior Database Engineer,On Site,Full time,More than 3 years,Negotiable
72,𝐁𝐫𝐚𝐢𝐧 𝐒𝐭𝐚𝐭𝐢𝐨𝐧 𝟐𝟑 𝐋𝐭𝐝,Senior PHP Developer,On Site,Full time,More than 4 years,Negotiable
73,"Codexpert, Inc",WordPress Plugin Developer,On Site,Full time,More than 3 years,50k - 100k
74,Relisource,Web Developer (eLearning Application),On Site,Full time,More than 2 years,Negotiable
75,Softaid Technologies,Graphic Designer,On Site,Full time,Less than 2 years ,Negotiable
76,Interactive Cares,Support Instructor - DevOps,Remote,Full time,Less than 2 years ,20k-30k
77,Jobdesk® Ltd.,Digital Marketing Executive,On Site,Full time,Less than 2 years ,Negotiable
78,Jobdesk® Ltd.,Senior Digital Marketing Manager/SEO Specialist ,On Site,Full time,Less than 2 years ,Negotiable
79,Technosoft Integration,Web Developer (CodeIgniter & Laravel Frameworks),On Site,Full time,More than 3 years,Negotiable
80,SEOPage1 ,Senior Laravel Developer,On Site,Full time,More than 3 years,40k-70k
81,InfoDigita Technologies,Senior WordPress Designer & Developer,On Site,Full time,More than 4 years,30k-65k
82,Hishabee Technologies Limited,Sr. Front End React Developers,On Site,Full time,More than 4 years,70k-90k
83,Urgensy INC,Digital Marketing Expert (Intern),Remote,Full time,Less than 2 years ,Commission Based
84,Urgensy INC,Tele Marketing Sales Expert,Remote,Full time,Less than 2 years ,Commission Based
85,QA Pro Limited,Software Quality Assurance Engineer,On Site,Full time,Less than 2 years ,Negotiable
86,QA Pro Limited,Marketing Executive,On Site,Full time,Less than 2 years ,Negotiable
87,Relisource,Software Engineer (AngularJS + Salesforce),Remote,Full time,More than 4 years,Negotiable
88,Relisource,Embedded Software Engineer,Remote,Full time,More than 3 years,Negotiable
89,Relisource,Lead Machine Learning Engineer,Remote,Full time,More than 4 years,Negotiable
90,Relisource,Senior Database Administrator,Remote,Full time,More than 3 years,Negotiable
91,Relisource,Software Engineer (.NET),Remote,Full time,More than 3 years,Negotiable
92,Relisource,Software Engineer (Ruby on Rails),Remote,Full time,More than 6 years,Negotiable
93,Relisource,Software Engineer (OutSystems),Remote,Full time,More than 3 years,Negotiable
94,Relisource,Senior DevOps Engineer,Remote,Full time,More than 5 years,Negotiable
95,HrxHub,Software Requirements Engineer,On Site,Full time,More than 5 years,Negotiable
96,MoveOn Technologies Ltd.,Software Engineer (PHP),On Site,Full time,Less than 2 years ,35k–45k
97,MoveOn Technologies Ltd.,Software Engineer (Node JS),On Site,Full time,More than 3 years,55k– 85k
98,MoveOn Technologies Ltd.,Software Engineers (Flutter),On Site,Full time,Less than 2 years ,45k-65k
99,Gridflow,UX/UI DESIGN INTERNSHIP,Remote,Part time,Fresher,150k-300k
100,Soft IT Care,𝐐𝐮𝐚𝐥𝐢𝐭𝐲 𝐀𝐬𝐬𝐮𝐫𝐚𝐧𝐜𝐞 𝐄𝐧𝐠𝐢𝐧𝐞𝐞𝐫,On Site,Full time,More than 3 years,25k-35k
101,HelloPay,Software Engineers (Backend),On Site,Full time,More than 3 years,80k
102,Softaid Technology,Wordpress Developer/Designer,On Site,Full time,Fresher,15k-22k
103,Softaid Technology,Junior Wordpress Developer/Designer,On Site,Full time,Fresher,Negotiable
